Id,Nombre
0,ABRANTES
1,ACACIAS
2,ADELFAS
3,AEROPUERTO
4,ALAMEDA DE OSUNA
5,ALMAGRO
6,ALMENARA
7,ALMENDRALES
8,ALUCHE
9,AMPOSTA
10,ARAPILES
11,ARAVACA
12,ARCOS
13,ARGUELLES
14,ATOCHA
15,BELLAS VISTAS
16,BERRUGUETE
17,BUENAVISTA
18,BUTARQUE
19,CAMPAMENTO
20,CANILLEJAS
21,CASA DE CAMPO
22,CASCO H.BARAJAS
23,CASCO H.VALLECAS
24,CASCO H.VICALVARO
25,CASTELLANA
26,CASTILLA
27,CASTILLEJOS
28,CHOPERA
29,CIUDAD JARDIN
30,CIUDAD UNIVERSITARIA
31,COLINA
32,COMILLAS
33,CONCEPCION
34,CORRALEJOS
35,CORTES
36,COSTILLARES
37,CUATRO CAMINOS
38,CUATRO VIENTOS
39,DELICIAS
40,EL GOLOSO
41,EL PARDO
42,EL PILAR
43,EL SALVADOR
44,EL VISO
45,EMBAJADORES
46,ENSANCHE DE VALLECAS
47,ENTREVIAS
48,ESTRELLA
49,FONTARRON
50,FUENTE DEL BERRO
51,GAZTAMBIDE
52,GOYA
53,GUINDALERA
54,HELLIN
55,HISPANOAMERICA
56,HORCAJO
57,IBIZA
58,IMPERIAL
59,JUSTICIA
60,LA PAZ
61,LAS AGUILAS
62,LEGAZPI
63,LISTA
64,LOS ANGELES
65,LOS CARMENES
66,LOS JERONIMOS
67,LOS ROSALES
68,LUCERO
69,MARROQUINA
70,MEDIA LEGUA
71,MIRASIERRA
72,MOSCARDO
73,NI?O JESUS
74,NUEVA ESPA?A
75,NUMANCIA
76,OPA?EL
77,ORCASITAS
78,ORCASUR
79,PACIFICO
80,PALACIO
81,PALOMERAS BAJAS
82,PALOMERAS SURESTE
83,PALOS DE MOGUER
84,PAVONES
85,PE?A GRANDE
86,PORTAZGO
87,PRADOLONGO
88,PROSPERIDAD
89,PUEBLO NUEVO
90,PUERTA BONITA
91,PUERTA DEL ANGEL
92,QUINTANA
93,RECOLETOS
94,REJAS
95,RIOS ROSAS
96,ROSAS
97,SAN ANDRES
98,SAN CRISTOBAL
99,SAN DIEGO
100,SAN FERMIN
101,SAN ISIDRO
102,SAN JUAN BAUTISTA
103,SAN PASCUAL
104,SANTA EUGENIA
105,SIMANCAS
106,SOL
107,TIMON
108,TRAFALGAR
109,UNIVERSIDAD
110,VALDEACEDERAS
111,VALDEBERNARDO
112,VALDEMARIN
113,VALDEZARZA
114,VALLEHERMOSO
115,VALVERDE
116,VENTAS
117,VINATEROS
118,VISTA ALEGRE
119,ZOFIO
