localId,barrioId
0,96
211,96
217,96
229,96
236,96
237,96
241,96
252,96
253,96
257,96
262,96
263,96
264,96
265,96
266,96
267,96
268,96
269,96
312,96
314,96
315,96
316,96
317,96
318,96
322,96
345,96
443,96
457,96
480,96
481,96
526,96
594,96
637,96
1980,96
2000,96
2044,96
2178,96
2397,96
2442,96
2981,96
2982,96
2983,96
2987,96
2988,96
2995,96
2996,96
1,93
5,93
6,93
14,93
20,93
147,93
423,93
424,93
425,93
494,93
546,93
602,93
609,93
667,93
745,93
807,93
988,93
1087,93
1221,93
1398,93
1535,93
1536,93
1591,93
1752,93
1871,93
1936,93
1958,93
1965,93
2038,93
2049,93
2097,93
2163,93
2305,93
2416,93
2466,93
2467,93
2,53
3,53
4,53
7,53
9,53
119,53
148,53
177,53
330,53
333,53
368,53
369,53
386,53
421,53
422,53
454,53
626,53
629,53
638,53
703,53
715,53
717,53
985,53
1058,53
1282,53
1534,53
1682,53
1684,53
1900,53
1940,53
2075,53
2899,53
8,23
15,23
16,23
23,23
383,23
549,23
756,23
812,23
1029,23
1125,23
1130,23
1132,23
1133,23
1134,23
1153,23
1352,23
1353,23
1358,23
1361,23
1362,23
1364,23
1378,23
1379,23
1385,23
1386,23
1387,23
1389,23
1392,23
1397,23
1480,23
1482,23
1564,23
1917,23
2078,23
2135,23
2261,23
2362,23
10,52
176,52
195,52
331,52
334,52
335,52
337,52
370,52
391,52
400,52
591,52
601,52
850,52
856,52
862,52
1088,52
1129,52
1222,52
1540,52
1683,52
1751,52
1792,52
1872,52
1909,52
1911,52
1920,52
1947,52
2032,52
2100,52
2133,52
2142,52
2167,52
2252,52
2313,52
2332,52
11,98
48,98
56,98
59,98
96,98
113,98
116,98
118,98
132,98
134,98
173,98
668,98
1660,98
2139,98
2400,98
12,67
25,67
26,67
33,67
57,67
58,67
93,67
94,67
95,67
104,67
105,67
135,67
189,67
364,67
390,67
831,67
838,67
1019,67
1118,67
1541,67
1571,67
1641,67
1983,67
2393,67
13,50
492,50
607,50
716,50
734,50
806,50
997,50
1885,50
1927,50
17,105
66,105
146,105
218,105
219,105
220,105
230,105
231,105
232,105
234,105
235,105
240,105
246,105
275,105
276,105
278,105
279,105
281,105
284,105
301,105
302,105
304,105
305,105
306,105
307,105
308,105
309,105
310,105
313,105
320,105
321,105
323,105
451,105
452,105
829,105
830,105
842,105
861,105
1089,105
1813,105
1873,105
1969,105
2331,105
2985,105
2990,105
18,94
225,94
2074,94
19,97
27,97
30,97
32,97
41,97
42,97
45,97
46,97
47,97
55,97
75,97
91,97
106,97
108,97
112,97
117,97
129,97
130,97
131,97
544,97
587,97
636,97
836,97
840,97
1659,97
1686,97
1795,97
2287,97
2488,97
21,107
355,107
22,46
449,46
550,46
1119,46
1120,46
1126,46
1139,46
1147,46
1360,46
1365,46
1390,46
1395,46
1396,46
1430,46
1474,46
1481,46
1596,46
1901,46
2008,46
2058,46
2083,46
2157,46
2182,46
2195,46
2196,46
2249,46
24,18
44,18
49,18
53,18
77,18
109,18
110,18
126,18
133,18
191,18
414,18
1475,18
1791,18
1971,18
28,64
29,64
31,64
34,64
35,64
43,64
50,64
51,64
52,64
54,64
87,64
88,64
89,64
90,64
92,64
97,64
107,64
111,64
114,64
115,64
127,64
128,64
172,64
188,64
190,64
329,64
608,64
618,64
631,64
714,64
732,64
834,64
835,64
841,64
1152,64
1685,64
2395,64
36,104
37,104
38,104
39,104
40,104
199,104
657,104
722,104
1107,104
1131,104
1146,104
1359,104
1363,104
1377,104
1380,104
1388,104
1391,104
1483,104
1888,104
1918,104
1919,104
1951,104
2361,104
2483,104
60,28
63,28
64,28
65,28
99,28
164,28
170,28
339,28
377,28
404,28
439,28
440,28
470,28
471,28
582,28
589,28
590,28
826,28
827,28
1112,28
61,83
165,83
166,83
168,83
182,83
202,83
203,83
204,83
205,83
338,83
341,83
349,83
361,83
362,83
374,83
375,83
378,83
447,83
504,83
506,83
511,83
553,83
554,83
555,83
564,83
566,83
578,83
580,83
585,83
588,83
735,83
736,83
820,83
824,83
832,83
846,83
1017,83
1027,83
1057,83
1973,83
2144,83
2158,83
2317,83
2354,83
2363,83
62,58
76,58
101,58
171,58
179,58
180,58
181,58
343,58
344,58
357,58
360,58
379,58
380,58
402,58
507,58
509,58
513,58
515,58
516,58
517,58
518,58
570,58
573,58
576,58
583,58
643,58
757,58
843,58
845,58
1018,58
1091,58
1113,58
1141,58
1384,58
1578,58
2072,58
67,72
68,72
69,72
71,72
78,72
83,72
84,72
136,72
137,72
140,72
142,72
145,72
154,72
157,72
158,72
162,72
274,72
816,72
1064,72
1242,72
1354,72
1816,72
1925,72
2413,72
70,87
152,87
153,87
270,87
1658,87
2371,87
72,7
80,7
81,7
144,7
156,7
817,7
1573,7
1637,7
2208,7
2328,7
2424,7
73,100
82,100
120,100
122,100
123,100
143,100
149,100
150,100
1355,100
1572,100
1638,100
1817,100
2965,100
74,1
100,1
167,1
178,1
183,1
347,1
359,1
363,1
376,1
381,1
382,1
401,1
403,1
437,1
448,1
466,1
467,1
468,1
469,1
474,1
475,1
505,1
508,1
551,1
552,1
557,1
558,1
559,1
562,1
565,1
568,1
571,1
572,1
579,1
584,1
759,1
810,1
815,1
833,1
849,1
852,1
854,1
858,1
859,1
860,1
971,1
1026,1
1142,1
1463,1
1796,1
1966,1
2209,1
2349,1
79,13
405,13
459,13
642,13
649,13
1093,13
1138,13
1251,13
1537,13
1547,13
1666,13
1773,13
1775,13
1776,13
1898,13
1933,13
1948,13
1992,13
2007,13
2143,13
2262,13
2356,13
2357,13
2398,13
2415,13
2441,13
2487,13
2893,13
85,78
155,78
159,78
407,78
1243,78
1339,78
1394,78
1889,78
1924,78
2429,78
86,77
121,77
139,77
141,77
160,77
161,77
271,77
273,77
408,77
864,77
1256,77
1257,77
1258,77
1260,77
1340,77
1375,77
2329,77
98,39
169,39
184,39
185,39
342,39
348,39
358,39
445,39
455,39
512,39
514,39
519,39
563,39
569,39
577,39
581,39
818,39
821,39
1028,39
2102,39
2383,39
102,80
328,80
411,80
528,80
596,80
646,80
670,80
675,80
679,80
680,80
686,80
696,80
697,80
701,80
705,80
748,80
784,80
787,80
789,80
793,80
800,80
811,80
879,80
885,80
887,80
889,80
894,80
896,80
899,80
909,80
911,80
914,80
915,80
917,80
919,80
924,80
976,80
981,80
983,80
987,80
998,80
999,80
1000,80
1004,80
1009,80
1010,80
1012,80
1036,80
1042,80
1043,80
1044,80
1054,80
1072,80
1077,80
1080,80
1081,80
1095,80
1096,80
1100,80
1102,80
1104,80
1106,80
1108,80
1109,80
1110,80
1124,80
1150,80
1154,80
1272,80
1276,80
1279,80
1283,80
1284,80
1345,80
1347,80
1348,80
1351,80
1401,80
1403,80
1406,80
1464,80
1479,80
1487,80
1489,80
1495,80
1496,80
1514,80
1527,80
1528,80
1538,80
1569,80
1570,80
1606,80
1653,80
1748,80
1749,80
1753,80
1759,80
1762,80
1763,80
1915,80
1943,80
1944,80
1954,80
1955,80
2016,80
2017,80
2018,80
2048,80
2106,80
2108,80
2153,80
2156,80
2343,80
2346,80
2381,80
2460,80
2514,80
2518,80
2520,80
2523,80
2526,80
2537,80
2538,80
2539,80
2541,80
2543,80
2549,80
2550,80
2551,80
2552,80
2553,80
2564,80
2978,80
103,22
409,22
124,119
138,119
151,119
272,119
1241,119
2235,119
125,70
460,70
669,70
1959,70
2908,70
2913,70
2927,70
2940,70
2941,70
2944,70
2951,70
2961,70
2962,70
163,82
298,82
346,82
731,82
936,82
938,82
943,82
964,82
966,82
967,82
989,82
1021,82
1052,82
1111,82
1161,82
1170,82
1180,82
1198,82
1216,82
1227,82
1228,82
1229,82
1230,82
1234,82
1235,82
1755,82
1894,82
1904,82
2003,82
2012,82
2028,82
2260,82
2453,82
2471,82
174,29
482,29
498,29
654,29
1063,29
1374,29
1580,29
1833,29
1836,29
1970,29
2177,29
2198,29
2506,29
2507,29
175,88
429,88
499,88
535,88
536,88
539,88
1020,88
1034,88
1061,88
1156,88
1264,88
