Id,Nombre,id_local,x,y
0,SR,280067128,448900.55,4474755.41
1,JURUCHA,270068967,441830.59,4475475.52
2,HONTANARES,270403150,442586.58,4476524.51
3,BAR MARISQUERIA LUIS,270078567,442986.58,4476379.5
4,SAGAR,40002021,442972.58,4476350.5
5,WAGABOO,40002808,441656.59,4475470.52
6,THE JAMES JOYCE IRISH PUB,270495851,441350.59,4474585.52
7,HOTEL ABBA MADRID,40001459,442926.58,4476681.5
8,LA PLAZA,180000457,447240.53,4470141.43
9,EL NUEVO RINC?N DE JA?N,270076142,443565.58,4475688.49
10,VIENA CAPELLANES,270071068,442347.58,4474952.51
11,BAR LAS TORRES,280062208,441294.52,4465802.5
12,KEBAB ARMENIA,170000773,441341.54,4467433.5
13,CAFETERIA PARISIENA,270075832,443481.58,4475598.49
14,BAR-RESTAURANTE,40001037,442069.58,4474794.51
15,EL RINCON DEL TIO PEPE,180000598,447266.53,4469503.43
16,BAR  SAN JULIAN,270266255,447329.53,4469664.43
17,BAR JOSUE,200000837,446593.56,4475579.45
18,RESTAURANTE BAR TORRES,280067055,449558.56,4477260.41
19,BONGO CAFE,270201818,439136.54,4466098.52
20,EL ARBOL Y LA TOSTA,270380946,441877.58,4474703.52
21,BURGER KING,210000683,450640.58,4480471.4
22,RESTAURANTE 40 & CUATRO,280060978,448326.52,4468742.41
23,BAR-RESTAURANTE,270202022,447532.53,4470237.43
24,CERVECERIA MINERVA,170001120,442611.52,4466074.49
25,BAR DONDE SIEMPRE,170000836,441337.53,4467033.5
26,LA PARADA ESQUINA,170001098,441702.54,4467387.5
27,BURGUER CAROVI,270228707,439581.54,4466421.52
28,A GAIVOTI?A II,170000967,440773.55,4467749.51
29,PE?A DE FRANCIA,170000259,440572.54,4466762.51
30,LUCKY,270456160,440242.54,4466570.51
31,EL KUBO,170002005,440665.54,4467317.51
32,BAR ASTURIAS,270181857,439928.54,4466553.51
33,LA ABUELA,270379680,441484.54,4467625.5
34,BAR PEMA,170000257,441020.55,4467961.51
35,CASA MONICA,270286727,441052.54,4467692.51
36,EL JARDIN DEL BACO,180000366,448357.53,4470622.41
37,CERVECERIA LA TOMASA,270324826,448373.53,4470489.41
38,BAR  LA HACIENDA,270032503,448410.53,4470525.41
39,CERVECERIA LA TORRE,270184841,448430.53,4470416.41
40,EL JARDIN DE BACO II,270185092,448569.53,4470101.41
41,"ESTUDIO VILLAVERDE ALTO, SL",170000673,439620.54,4466399.52
42,LAS BEGONIAS,270456985,439062.54,4466077.52
43,BAR CASA CONEL,170000832,440871.54,4467123.51
44,PASTELERIA PANADERIA CAFETERIA CHICO,170001203,442609.52,4466445.49
45,BAR LAS NI?AS,170000724,439441.54,4466238.52
46,BAR MEZQUITA,270181482,439235.54,4466441.52
47,BAR RENATO,170000308,440117.54,4466833.51
48,PEREZ CAFETERIA,270020492,441813.52,4466134.5
49,100 MONTADITOS,270539656,442506.52,4466515.49
50,RESTAURANTE GALLARDO,270183511,440611.54,4467373.51
51,LA ATALAYA,270023348,440692.54,4467514.51
52,ALQUEZAR LA BODEGA DE COTE,170000123,440699.55,4468091.51
53,BAR SALINAS,270314735,442293.53,4467170.49
54,JOSE,170000009,440729.54,4467406.51
55,CAFE SAXO,270488062,439905.54,4466534.52
56,CERVECERIA SAN CRISTOBAL,170000013,441634.52,4465850.5
57,EL PORTON,270182385,441185.54,4467321.51
58,DONER KEBAB PLAZA,270418033,441338.53,4467062.5
59,BAR PIRATA,270033353,441482.52,4465904.5
60,CERVECERIA LA LASTRA,20000100,441013.58,4471631.52
61,BAR SORIA,20000172,441427.58,4472681.52
62,CERVECERIA CANTALEJO RESTAURANTE,20001101,439273.59,4472845.53
63,BAR ORENSE,270267597,440774.58,4472081.52
64,BAR EL CONQUISTADOR,20001080,440768.58,4472030.52
65,CAFETERIA LOA,270055919,440749.58,4471854.52
66,LA SEDE D'ANDRUBEN,200001508,446973.56,4475983.45
67,"EL RINCON DE SIXTO,",270458555,440325.58,4471467.52
68,SIN R?TULO,270524837,440615.58,4471127.52
69,BAR ALFIL,270228855,440269.58,4471097.52
70,BAR PISCIS,270157776,439993.58,4470543.52
71,LA ALEGRIA,270438751,440593.58,4471152.52
72,BAR CLEMENTE,270490968,440484.57,4470338.52
73,CAFE BAR MARTIN,270477281,441484.56,4469450.51
74,CAFETERIA HINOJAR,270309378,440297.59,4472901.53
75,DON GERMAN,285031450,439207.53,4465219.52
76,BAR RESTAURANTE MARTIN,20000056,439309.59,4472582.53
77,RESTAURANTE PARQUE ROSALES CERVECERIA,170000809,442621.52,4466379.49
78,EL BAR,285021312,440579.58,4471302.52
79,8 1/2 LIBROS DE CINE,270519524,439456.6,4475119.54
80,R?TULO NO INFORMADO,270540061,440957.57,4470488.52
81,CAFETERIA 204,270417284,440752.58,4470914.52
82,PARRILLA BONALMA,270534735,441235.55,4468763.51
83,BAR,270217569,439357.59,4470780.53
84,BAR LUZON,270156329,439941.59,4471234.53
85,CAFETERIA HALLEY,270363433,440611.56,4468695.51
86,BAR SANCHEZ,270432683,440044.56,4469089.52
87,VENTA CARMONA,270280806,440867.54,4467567.51
88,CAFETERIA LUMAR,270183220,440933.54,4466974.51
89,BAR RESTAURANTE MARTIN,270471784,440717.55,4468045.51
90,EL PILAR,270191062,441064.54,4467352.51
91,EL PORTON,270181096,439861.53,4465979.51
92,BAR EL RINCON DEL QUIJOTE,170000796,441057.54,4467705.51
93,DI MADRID,270250040,441207.54,4467290.51
94,EL ZAGUAN,270033525,441188.54,4467238.51
95,LA BODEGUILLA IBERICA,170000283,441323.54,4467541.51
96,BAR VIETNAM,170000006,441690.52,4465824.5
97,BAR JOSE LUIS,270183106,440620.54,4466862.51
98,CAFETERIA FERROCARRIL,270057250,440931.58,4472464.52
99,RESTARAURANTE  O'PORTI?O,280017278,440739.58,4471734.52
100,LA MARGHERITA,280018318,440313.59,4472551.53
101,RESTAURANTE LA POTA DOURO,270299459,438859.6,4473750.54
102,CA?AS Y TAPAS,10003543,439691.59,4473697.53
103,BAR LOS GALLEGOS,270373645,450716.58,4480243.4
104,TU BOCATA II,170000258,441319.53,4467087.5
105,CAFETERIA BAR LINEA 123,170000611,441416.54,4467977.51
106,BAR GALICIA,270181501,439389.54,4466439.52
107,BAR ESTRELLA 2008,270400434,441058.54,4467162.51
108,BAR UNO,170000543,440080.54,4466690.51
109,KEBAB ARMENIA,170002104,442544.52,4466305.49
110,CAFETERIA,170001122,442448.52,4466571.49
111,CAFETERIA OBREGON,270422013,440999.54,4466978.51
112,EL CUERPO DEL DESEO,170000830,439607.54,4466442.52
113,EL RINCON DE LOLA,270447268,441262.52,4465764.5
114,BAR PINILLA,170000004,440989.55,4467995.51
115,BAR MINI PILAR,270183583,440920.54,4467662.51
116,BAR EL CIGARRAL TOLEDANO,270182085,441710.52,4466005.5
117,BAR LAS MURALLAS,270181885,440125.54,4466551.51
118,BAR DULCI,170000016,441560.52,4465747.5
119,L'ANDECHA,270077611,443736.58,4477000.49
120,BAR PELAEZ,270322801,441462.56,4469556.51
121,O TOUXEIRO,120000552,439179.56,4468638.53
122,BAR LUQUE,280049553,441454.56,4469611.51
123,ASAY,280051178,441416.55,4468552.51
124,XALLAS,120000138,439617.58,4470436.53
125,CERVECERIA 100 MONTADITOS,280064620,444144.57,4473666.48
126,SIDRERIA DEL NORTE,170000961,442522.52,4466428.49
127,BAR MONICO,270183625,441031.54,4467258.51
128,BAR LOS CAMPEONES - JAEN,270308889,440958.54,4466974.51
129,LA POSADA DE GREEN VILLAGE,270332045,439485.54,4466427.52
130,MADRETIERRA,290000758,439643.54,4466406.52
131,EL CASTIZO,270181310,439594.54,4466379.52
132,CAFETERIA BAR JUANJO Y JOSE,270448230,441559.52,4465840.5
133,BAR RESTAURANTE VITA KR,270547589,442441.52,4466609.49
134,BAR CONGO,270401458,441560.52,4465744.5
135,DONDE LA LOLA,170000406,441482.54,4467704.5
136,BAR OLIVA,270540475,440632.58,4471110.52
137,TABERNA LA ANDALUZA,280050244,440423.58,4471289.52
138,A NOXA GALICIA,270416146,439515.58,4470096.53
139,CAFETERIA JUANITO,280049608,440134.56,4469043.52
140,CAMBOY,285021310,440525.58,4471231.52
141,BAR ASADOR MERINO,280049571,439214.57,4469177.53
142,EL CHIRINGUITO,270156733,439464.59,4470801.53
143,BAR JUSTO,280049704,441564.56,4469208.51
144,BAR CAFETERIA,270526564,440600.2126,4470662.102
145,BAR EL MANCHEGO (LOCAL 2 Y 3),280049131,440030.58,4470961.52
146,TGB-THE GOOD BURGER,200001961,446575.57,4476777.45
147,LA NI?A,40003086,441831.59,4475443.52
148,JARRITUS,40002254,443640.58,4475735.49
149,BAR CAFETERIA KRISTIN,270535739,441334.57,4469948.51
150,BAR LA SELVA,270154709,441226.56,4469598.51
151,SALEM II,270261041,439524.58,4470063.53
152,BAR LEONES,270322431,440121.57,4470087.52
153,CAFETERIA CUESTA CERVECERIA,270157551,439635.58,4470536.53
154,CAFETERIA LUMAR,270225619,439562.58,4470804.53
155,CASA ANTONIO,270438394,440979.56,4468755.51
156,MUSEO DEL JAMON,270549067,,
